Blood Pressure Measurements in Maywood and Nigeria,,,
"maywood is an indicator (1 if from maywood, 0 if from Nigeria",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
maywood,bpmed,sbp,dbp
0,0,148,77
0,0,124,73
0,0,149,81
0,0,123,78
0,0,120,73
0,0,106,64
0,0,124,78
0,0,140,86
0,0,111,69
0,0,114,70
0,0,134,87
0,0,100,73
0,0,112,71
0,0,131,82
0,0,112,66
0,0,123,87
0,0,146,94
0,0,103,78
0,0,121,88
0,0,103,74
0,0,125,66
0,0,148,96
0,0,137,96
0,0,147,93
0,0,106,66
0,0,112,69
0,0,127,84
0,0,101,71
0,0,122,70
0,0,218,93
0,0,120,81
0,0,126,80
0,0,102,67
0,0,99,77
0,0,100,67
0,0,106,73
0,0,111,69
0,0,115,64
0,0,149,72
0,0,98,20
0,0,102,52
0,0,138,78
0,0,111,63
0,0,99,63
0,0,121,68
0,0,143,91
0,0,105,77
0,0,135,80
0,0,131,95
0,0,147,107
0,0,108,65
0,0,118,77
0,0,209,107
0,0,103,70
0,0,106,70
0,0,116,80
0,0,107,59
0,0,148,71
0,0,122,70
0,0,126,80
0,0,99,74
0,0,112,63
0,0,107,66
0,0,123,72
0,0,160,118
0,0,216,121
0,0,172,117
0,0,84,59
0,0,144,89
0,0,105,67
0,0,108,69
0,0,113,78
0,0,118,78
0,0,128,77
0,0,85,28
0,0,116,68
0,0,121,60
0,0,101,74
0,0,176,102
0,0,123,72
0,0,173,112
0,0,178,92
0,0,152,88
0,0,124,72
0,0,100,51
0,0,230,95
0,0,168,91
0,0,101,0
0,0,111,65
0,0,137,77
0,0,117,75
0,0,120,68
0,0,164,97
0,0,163,96
0,0,100,74
0,0,130,65
0,0,96,58
0,0,173,90
1,1,133,73
1,0,128,67
1,1,130,66
1,0,98,69
1,0,126,65
1,0,113,68
1,1,158,108
1,0,111,80
1,1,141,98
1,1,112,79
1,1,124,82
1,1,146,78
1,0,106,63
1,1,125,72
1,1,123,71
1,0,140,97
1,0,128,76
1,0,130,74
1,0,117,76
1,0,109,72
1,0,116,74
1,0,128,73
1,1,148,89
1,0,147,79
1,0,117,74
1,0,147,87
1,0,126,71
1,1,108,73
1,1,133,79
1,0,138,72
1,0,119,75
1,1,128,88
1,0,145,75
1,0,113,74
1,0,107,74
1,0,117,64
1,0,110,55
1,0,116,82
1,0,127,83
1,0,107,63
1,1,167,86
1,0,96,60
1,0,113,0
1,0,133,74
1,1,103,66
1,0,138,62
1,1,196,118
1,0,130,92
1,0,164,101
1,0,106,53
1,1,109,68
1,1,135,100
1,0,132,87
1,0,118,70
1,0,104,53
1,0,116,80
1,0,140,93
1,0,114,78
1,1,131,81
1,1,147,90
1,1,114,72
1,0,149,97
1,0,114,75
1,0,122,90
1,0,105,60
1,0,112,83
1,1,147,82
1,0,120,83
1,0,105,54
1,0,99,58
1,0,123,79
1,0,119,63
1,0,120,80
1,0,124,86
1,0,109,73
1,0,173,91
1,0,109,66
1,0,138,97
1,0,116,83
1,1,136,82
1,0,126,76
1,1,119,81
1,1,139,74
1,0,100,71
1,0,103,79
1,0,100,70
1,0,139,88
1,1,159,90
1,0,107,48
1,1,189,110
1,0,111,67
1,1,153,98
1,0,130,79
1,0,177,107
1,0,148,99
1,0,116,87
1,0,152,90
1,0,146,77
1,0,105,72
1,0,131,80
1,0,137,94
1,0,127,65
1,0,104,76
1,0,130,82
1,1,147,81
1,1,152,90
1,0,128,83
1,0,130,81
1,1,143,83
1,1,119,81
1,1,137,92
1,1,132,89
1,1,123,68
1,0,96,50
1,0,209,108
1,0,117,67
1,0,123,71
1,0,116,66
1,0,108,71
1,0,166,101
1,0,159,70
1,0,122,77
1,0,119,79
1,0,107,72
1,0,100,57
1,0,101,54
1,0,128,86
1,0,99,68
1,0,139,95
1,0,112,81
1,0,111,60
1,0,149,90
1,0,114,73
1,1,133,93
1,0,118,65
1,0,136,83
1,0,93,56
1,0,140,86
1,1,148,98
1,0,150,52
