Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
128,78,156,80
146,108,174,104
118,76,116,82
148,86,136,88
152,96,144,86
140,90,138,80
122,66,116,72
138,86,148,80
110,82,146,88
156,82,162,92
158,90,144,82
116,70,120,80
138,96,136,88
146,100,138,78
122,70,124,76
102,82,112,78
142,92,148,90
112,74,128,80
104,60,122,60
142,82,138,74
108,72,112,68
148,88,134,80
118,72,124,80
108,76,112,74
144,84,144,96
188,94,182,98
144,86,150,92
108,70,118,80
146,88,154,68
170,94,160,84
118,60,134,68
148,80,178,96
166,80,145,81
134,82,128,78
172,110,174,102
102,82,110,72
128,80,140,84
112,78,132,84
142,100,164,108
130,78,142,90
132,90,136,80
128,80,124,80
150,102,170,100
112,84,124,84
142,78,140,72
144,90,154,90
140,96,144,90
140,100,126,82
108,74,126,80
152,80,160,96
142,92,134,86
114,66,130,80
122,86,144,86
138,80,138,84
120,80,116,80
124,96,144,80
118,70,130,84
128,74,158,90
142,88,134,94
162,96,144,94
92,64,122,84
134,88,132,82
138,112,166,108
124,68,128,62
122,90,126,82
122,82,132,68
128,80,126,84
174,96,166,102
130,80,144,94
112,92,116,86
154,112,174,104
130,70,130,76
128,78,158,92
138,86,134,84
124,78,116,78
124,80,108,80
144,86,132,92
116,58,100,64
128,84,136,98
110,78,114,88
102,70,111,65
126,72,120,80
132,76,124,74
130,110,130,96
132,80,132,80
100,80,126,80
122,98,132,88
114,80,132,84
138,88,130,88
140,86,154,94
196,112,212,112
162,100,170,100
132,88,168,96
172,94,168,96
138,78,136,78
118,86,120,88
138,84,162,94
136,78,138,84
128,88,138,86
74,60,102,66
132,84,172,94
142,88,140,96
178,84,144,82
146,100,150,96
150,104,150,106
122,88,120,88
120,88,136,94
122,78,132,78
152,86,164,90
100,56,104,60
118,80,120,62
102,80,116,76
152,98,158,96
118,78,132,88
124,74,132,74
132,88,148,90
134,80,144,92
102,76,124,80
178,104,190,106
144,100,144,94
140,90,140,90
152,76,156,80
112,64,126,68
124,82,138,88
118,68,128,70
114,88,132,90
122,76,136,82
142,84,150,88
102,70,100,68
162,108,196,120
146,78,134,80
118,68,134,78
128,88,118,76
152,92,166,96
142,100,136,92
128,82,130,80
108,60,110,70
170,108,156,94
140,82,140,84
124,82,116,66
146,88,162,100
132,78,136,78
120,72,126,84
